TS,PID,TYPE,FLAG,PATTERN,OPEN,CREATE,DELETE,ENCRYPT,FILENAME
14288592302254,120228,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlink/id
14288592816579,120228,0,1,0,0,1,0,1,/sys/kernel/debug/tracing/events/syscalls/sys_enter_unlinkat/id
14288600141757,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/List/Util
14288600148303,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Data
14288600156827,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Data/Dumper
14288600163167,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Filter
14288600171603,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Filter/Util
14288600180438,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Filter/Util/Call
14288600186830,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/B
14288600193292,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Unicode
14288600204140,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Unicode/Collate
14288600210785,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Unicode/Normalize
14288600217250,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Math
14288600225523,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Math/BigInt
14288600234065,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Math/BigInt/FastCalc
14288600240420,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/DB_File
14288600246641,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Cwd
14288600252841,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/IPC
14288600261003,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/IPC/SysV
14288600267208,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/NDBM_File
14288600273629,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/File
14288600284506,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/File/Glob
14288600290892,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/File/DosGlob
14288600297322,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/GDBM_File
14288600303599,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Devel
14288600311651,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Devel/Peek
14288600317732,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/attributes
14288600323912,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/SDBM_File
14288600330059,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/MIME
14288600338414,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/MIME/Base64
14288600344656,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Hash
14288600352805,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Hash/Util
14288600361595,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Hash/Util/FieldHash
14288600367866,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode
14288600393119,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode/JP
14288600399671,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode/CN
14288600405913,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode/Unicode
14288600412086,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode/Symbol
14288600418400,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode/Byte
14288600424468,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode/EBCDIC
14288600430604,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode/TW
14288600437005,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Encode/KR
14288600443355,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Time
14288600453853,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Time/HiRes
14288600460235,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Time/Piece
14288600466450,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Digest
14288600476947,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Digest/MD5
14288600483193,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Digest/SHA
14288600489476,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/threads
14288600498376,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/threads/shared
14288600504852,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/IO
14288600511280,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Fcntl
14288600517564,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/Opcode
14288600523787,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/POSIX
14288600530374,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/I18N
14288600538852,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/auto/I18N/Langinfo
14288600545265,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/B
14288600552993,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Unicode
14288600562862,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Unicode/Collate
14288600569468,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Math
14288600577911,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Math/BigInt
14288600584216,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/IPC
14288600591527,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Sub
14288600597895,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/File
14288600607527,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/File/Spec
14288600617007,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Scalar
14288600623169,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Devel
14288600629818,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/linux
14288600636740,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/MIME
14288600643332,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Hash
14288600652057,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Hash/Util
14288600658479,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Encode
14288600682020,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Encode/JP
14288600689063,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Encode/CN
14288600695387,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Encode/Unicode
14288600701868,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Encode/MIME
14288600711416,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Encode/MIME/Header
14288600717891,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Encode/KR
14288600724049,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Time
14288600731292,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/Digest
14288600737954,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/sys
14288600747874,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/threads
14288600754252,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/IO
14288600765708,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/IO/Socket
14288600772361,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/CORE
14288600810607,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/gnu
14288600817791,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/5.40.0/I18N
14288600824031,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/cross-config-5.40.0
14288600834996,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/perl/debian-config-data-5.40.0
14288600843073,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/stunnel
14288600850259,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/awk
14288600857282,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/openbabel
14288600866359,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/openbabel/3.1.1
14288600920764,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/libheif
14288600930631,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/libheif/plugins
14288600938838,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/speech-dispatcher
14288600947487,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/medusa
14288600956180,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/medusa/modules
14288600970581,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5
14288600989625,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/libexec
14288600998542,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs
14288601169473,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/winrt-arm64-msvc2017
14288601177537,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/macx-tvos-clang
14288601185557,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/win32-clang-msvc
14288601192358,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/linux-arm-gnueabi-g++
14288601199125,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/winrt-x86-msvc2017
14288601205340,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/win32-icc
14288601211901,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/winrt-x64-msvc2019
14288601218232,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/integrity-armv7
14288601224622,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features
14288601289969,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/wasm
14288601297662,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/unix
14288601307856,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/winrt
14288601315135,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/mac
14288601327437,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/mac/unsupported
14288601333964,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/android
14288601342657,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/unsupported
14288601349070,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/uikit
14288601361138,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/win32
14288601371728,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/data
14288601388362,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/data/unix
14288601395000,120228,0,1,0,0,1,0,1,/usr/lib/x86_64-linux-gnu/qt5/mkspecs/features/data/mac
